evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
primary,mean,fixed,clean,hit_at_1,0.5364238619804382,0.5262505650520325,0.5470671653747559,5000,20260913
primary,mean,fixed,clean,hit_at_5,0.7593424916267395,0.75,0.7684484124183655,5000,20260913
primary,mean,fixed,clean,mrr_at_100,0.6378342509269714,0.6292624235153198,0.6465553626418113,5000,20260913
primary,mean,fixed,mild,hit_at_1,0.5224692821502686,0.5118229627609253,0.5332308411598206,5000,20260913
primary,mean,fixed,mild,hit_at_5,0.7514191269874573,0.7419583797454834,0.7606433033943176,5000,20260913
primary,mean,fixed,mild,mrr_at_100,0.6250872611999512,0.616362664103508,0.6340382665395736,5000,20260913
primary,mean,fixed,moderate,hit_at_1,0.5082781314849854,0.49798959493637085,0.5191580057144165,5000,20260913
primary,mean,fixed,moderate,hit_at_5,0.738528847694397,0.7289498448371887,0.7477560400962829,5000,20260913
primary,mean,fixed,moderate,mrr_at_100,0.6123812794685364,0.603814622759819,0.6213453605771064,5000,20260913
primary,mean,fixed,severe,hit_at_1,0.4906575083732605,0.48001420497894287,0.5015373826026917,5000,20260913
primary,mean,fixed,severe,hit_at_5,0.7193708419799805,0.7097888827323914,0.7289498448371887,5000,20260913
primary,mean,fixed,severe,mrr_at_100,0.5946664214134216,0.5857955053448677,0.6039133459329605,5000,20260913
primary,mean,recursive,clean,hit_at_1,0.535950779914856,0.5253045201301575,0.5467123985290527,5000,20260913
primary,mean,recursive,clean,hit_at_5,0.7658467292785645,0.7567407488822937,0.7749527096748352,5000,20260913
primary,mean,recursive,clean,mrr_at_100,0.639164388179779,0.6302091017365455,0.6479260563850403,5000,20260913
primary,mean,recursive,mild,hit_at_1,0.5082781314849854,0.4973982870578766,0.5190397500991821,5000,20260913
primary,mean,recursive,mild,hit_at_5,0.7436140179634094,0.7339167594909668,0.7529565095901489,5000,20260913
primary,mean,recursive,mild,mrr_at_100,0.6142846941947937,0.6052450776100159,0.623172427713871,5000,20260913
primary,mean,recursive,moderate,hit_at_1,0.4911305606365204,0.4807237386703491,0.5017738938331604,5000,20260913
primary,mean,recursive,moderate,hit_at_5,0.7243377566337585,0.7147587537765503,0.733680248260498,5000,20260913
primary,mean,recursive,moderate,mrr_at_100,0.5973183512687683,0.5883667200803757,0.6060679227113723,5000,20260913
primary,mean,recursive,severe,hit_at_1,0.4755203425884247,0.4651135206222534,0.4862819314002991,5000,20260913
primary,mean,recursive,severe,hit_at_5,0.7093188166618347,0.6993850469589233,0.7190160751342773,5000,20260913
primary,mean,recursive,severe,mrr_at_100,0.5803926587104797,0.5714369773864746,0.5896076247096061,5000,20260913
primary,mean,semantic,clean,hit_at_1,0.5260170102119446,0.5156102180480957,0.5368968844413757,5000,20260913
primary,mean,semantic,clean,hit_at_5,0.7594607472419739,0.7498817443847656,0.7686879396438598,5000,20260913
primary,mean,semantic,clean,mrr_at_100,0.6313573718070984,0.6225012063980102,0.6402681663632392,5000,20260913
primary,mean,semantic,mild,hit_at_1,0.528500497341156,0.5180936455726624,0.5391438007354736,5000,20260913
primary,mean,semantic,mild,hit_at_5,0.7601702809333801,0.7513008713722229,0.7693945169448853,5000,20260913
primary,mean,semantic,mild,mrr_at_100,0.6304404735565186,0.621741184592247,0.6394528090953827,5000,20260913
primary,mean,semantic,moderate,hit_at_1,0.4985809028148651,0.4878193140029907,0.5093424916267395,5000,20260913
primary,mean,semantic,moderate,hit_at_5,0.7391201257705688,0.7296594381332397,0.7484626173973083,5000,20260913
primary,mean,semantic,moderate,mrr_at_100,0.6060619950294495,0.5972831055521965,0.6148771226406098,5000,20260913
primary,mean,semantic,severe,hit_at_1,0.4771759808063507,0.46665090322494507,0.4878193140029907,5000,20260913
primary,mean,semantic,severe,hit_at_5,0.7112109661102295,0.7016319632530212,0.7206717133522034,5000,20260913
primary,mean,semantic,severe,mrr_at_100,0.5844874382019043,0.5757179111242294,0.5935697183012962,5000,20260913
primary,mean,structure,clean,hit_at_1,0.5322847962379456,0.5216414332389832,0.5428098440170288,5000,20260913
primary,mean,structure,clean,hit_at_5,0.765373706817627,0.7560312151908875,0.7745979428291321,5000,20260913
